ステータスID,ステータス名,ステータスアイコン
1,JIS,1.png
2,第三者認証登録品,2.png
3,第三者認証品,3.png
4,寒冷地用,4.png
5,逆止弁付,5.png
6,保証書,6.png
7,新商品,7.png
8,スーパーサーモ,8.png
9,eシャワー,9.png
10,やさしさ推奨品,10.png
11,お湯ぴた,11.png
12,サーモスタット式水栓,12.png
13,自閉式,13.png
14,ミキシング式,14.png
15,一次止水付,15.png
16,"ソーラー用",16.png
17,セラミックシングル,17.png
18,eレバー水栓,18.png
19,マルチ水栓,19.png
20,センサー付,20.png
21,スーパーシングル,21.png
22,シングルレバー式水栓,22.png
23,NSFシャワー,23.png
24,泡沫吐水,24.png
25,省施工仕様,25.png
26,上施工方式（省施工仕様）,26.png
27,浄水器付,27.png
28,エコこま水栓,28.png
29,プチエコ水栓,29.png
30,"緊急止水機能付",30.png
31,節湯A1,31.png
32,節湯B1,32.png
33,節湯C1,33.png
34,節湯A,34.png
35,節湯B,35.png
36,節湯AB,36.png
37,てすと,37.png
