品番,品名,写真,図面,取説,施工,分解図本体,分解図_シャワー,購入,価格,価格（税込み）,備考,商品イメージ,バリエーション親品番,バリエーション順序,カタログ年度,カタログページ,検索ワード,分岐金具,分岐金具,分岐金具,発売時期,代替品,本体取付穴,ピッチ,シャワーS取付穴,削除,カテゴリID
GDULS-13P1,0GDULS-13P1:ﾕﾆｯﾄｴﾙﾎﾞ13A×Rp1/2,,GDULS-13P1_Z.pdf,,,,,,9,10,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZK4PBE,13用ｺﾏﾊﾟﾈﾙｼｰﾄ(1ｼｰﾄ60ｺ),,,,,,,,7,8,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZKF170SR-50,16MMﾜｲﾝﾚｯﾄﾞｼｬﾜｰﾎｰｽ50M,,,,,,,,32,35,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZKF170S-50,16MM黒ｼｬﾜｰﾎｰｽ50M,,,,,,,,31,33,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZKF170SSI-50,16MM白ｼｬﾜｰﾎｰｽ50M,,,,,,,,31,33,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF85-E,2ﾊﾝﾄﾞﾙお湯ぴた目盛ﾊﾝﾄﾞﾙ,,,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF108,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF108_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF109,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF109_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF140,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF140_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF140G2,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF140G2_B.pdf,,,23,25,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF140G3,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,KF140G3_Z.pdf,KF100N2_T.pdf,KF13N2_S.pdf,KF140G3_B.pdf,,,28,31,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF22,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF22N2,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF22N2_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF2G,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF2G_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF2G2,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,,,,KF2G2_B.pdf,,,22,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF2G3,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,KF2G3_Z.pdf,KF100N2_T.pdf,KF13N2_S.pdf,KF2G3_B.pdf,PZ615_B.pdf,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF2GN3,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,KF2GN3_Z.pdf,KF100N2_T.pdf,KF13N2_S.pdf,,,,32,35,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF30N2,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,KF30N2_Z.pdf,KF100N2_T.pdf,KF13N2_S.pdf,KF30N2_B.pdf,,,19,20,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF40N2,2ﾊﾝﾄﾞﾙｼｬﾜｰ,,KF40N2_Z.pdf,KF100N2_T.pdf,KF13N2_S.pdf,KF40N2_B.pdf,,,20,21,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF30N2W,2ﾊﾝﾄﾞﾙｼｬﾜｰﾋﾞｽ止,,KF30N2W_Z.pdf,KF100N2_T.pdf,KF13N2_S.pdf,KF30N2_B.pdf,,,22,23,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM13N2,2ﾊﾝﾄﾞﾙ混合栓,,KM13N2_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM13N2_B.pdf,,,9,10,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM13N2,2ﾊﾝﾄﾞﾙ混合栓,,KM13N2_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM13N2_B.pdf,,,9,10,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM13N2F,2ﾊﾝﾄﾞﾙ混合栓,,KM13N2F_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM13N2_B.pdf,,,16,17,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM140,2ﾊﾝﾄﾞﾙ混合栓,,,,,KM140_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM140EX,2ﾊﾝﾄﾞﾙ混合栓,,KM140EX_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM140G3_B.pdf,,,22,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM140EX,2ﾊﾝﾄﾞﾙ混合栓,,KM140EX_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM140G3_B.pdf,,,22,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM140G3,2ﾊﾝﾄﾞﾙ混合栓,,KM140G3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM140G3_B.pdf,,,19,20,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM140GM,2ﾊﾝﾄﾞﾙ混合栓,,KM140GM_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM140G3_B.pdf,,,21,23,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM140GM,2ﾊﾝﾄﾞﾙ混合栓,,KM140GM_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM140G3_B.pdf,,,21,23,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM14N2,2ﾊﾝﾄﾞﾙ混合栓,,KM14N2_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM14N2_B.pdf,,,9,10,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM14N2,2ﾊﾝﾄﾞﾙ混合栓,,KM14N2_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM14N2_B.pdf,,,9,10,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM17NE,2ﾊﾝﾄﾞﾙ混合栓,,KM17NE_Z.pdf,KM8G_T.pdf,KM8G_S.pdf,KM17NSGS_B.pdf,,,12,13,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM2G,2ﾊﾝﾄﾞﾙ混合栓,,,,,KM2G_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM2G2,2ﾊﾝﾄﾞﾙ混合栓,,,,,KM2G2_B.pdf,,,14,15,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM2G3,2ﾊﾝﾄﾞﾙ混合栓,,KM2G3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM2G3_B.pdf,,,17,18,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM2G3,2ﾊﾝﾄﾞﾙ混合栓,,KM2G3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM2G3_B.pdf,,,17,18,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM4G,2ﾊﾝﾄﾞﾙ混合栓,,,,,KM4G_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM4G2,2ﾊﾝﾄﾞﾙ混合栓,,,,,KM4G2_B.pdf,,,14,15,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM4G3,2ﾊﾝﾄﾞﾙ混合栓,,KM4G3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM4G3_B.pdf,,,17,19,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM4G3,2ﾊﾝﾄﾞﾙ混合栓,,KM4G3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM4G3_B.pdf,,,17,19,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM33N3BN,2ﾊﾝﾄﾞﾙ混合栓 ﾂﾊﾞ付ﾜﾝﾀｯﾁﾆｯﾌﾟﾙ付,,KM33N3BN_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM33N3_B.pdf,,,12,13,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM33N3G,2ﾊﾝﾄﾞﾙ混合栓 自動接手付 ﾜﾝﾀｯﾁｶﾌﾟﾗ付,,KM33N3G_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM33N3_B.pdf,,,13,14,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM2GN3,2ﾊﾝﾄﾞﾙ混合栓 吐水口固定,,KM2GN3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,,,,22,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM13N2M,2ﾊﾝﾄﾞﾙ混合栓 泡沫ﾊﾟｲﾌﾟ付,,KM13N2M_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,,,,12,12,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM13N2M,2ﾊﾝﾄﾞﾙ混合栓 泡沫ﾊﾟｲﾌﾟ付,,KM13N2M_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,,,,12,12,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM14N2M,2ﾊﾝﾄﾞﾙ混合栓 泡沫ﾊﾟｲﾌﾟ付,,KM14N2M_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,,,,12,13,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM13N2W,2ﾊﾝﾄﾞﾙ混合栓ﾋﾞｽ止,,KM13N2W_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM13N2_B.pdf,,,12,13,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM13N2W,2ﾊﾝﾄﾞﾙ混合栓ﾋﾞｽ止,,KM13N2W_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM13N2_B.pdf,,,12,13,,商品イメージ,,0,2014,1,,,,,,,,,,0,1200
KM33N3B,2ﾊﾝﾄﾞﾙ混合栓ﾜﾝﾀｯﾁﾉｽﾞﾙ仕様,,KM33N3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM33N3_B.pdf,,,12,13,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM33U,2ﾊﾝﾄﾞﾙ混合栓吐水口固定形ﾋﾞｽ止,,KM33U_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM33U_B.pdf,,,14,15,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM33WU2,2ﾊﾝﾄﾞﾙ混合栓吐水口固定形ﾋﾞｽ止,,KM33WU2_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM33WU2_B.pdf,,,17,18,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM33N2,2ﾊﾝﾄﾞﾙ混合栓肉厚万能ﾉｽﾞﾙ付,,,,,KM33N2_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM33N3,2ﾊﾝﾄﾞﾙ混合栓肉厚万能ﾉｽﾞﾙ付,,KM33N3_Z.pdf,KF13N2_T.pdf,KF13N2_S.pdf,KM33N3_B.pdf,,,12,12,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF204F,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰ,,,,,KF204F_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF68,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰ,,KF68_Z.pdf,,,KF68_B.pdf,,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF32FGS,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰｺﾞﾑ栓付,,KF32FGS_Z.pdf,KF32FGS_T.pdf,KF32FGS_S.pdf,KF32FGS_B.pdf,,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF64,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰｺﾞﾑ栓付,,KF64_Z.pdf,KF64_T.pdf,KF64_S.pdf,KF64_B.pdf,,,31,33,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF67FSLEGS,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰｺﾞﾑ栓付,,,,,KF67FSLEGS_B.pdf,,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZVR65-1,38M/M L字管(VR7-38用),,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ822AH,3wayｼｬﾜｰｱｸｱﾊｰﾓﾆｰﾊﾟｲﾌﾟ 200,,,,,,,,8,9,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ950AH,3wayｼｬﾜｰｱｸｱﾊｰﾓﾆｰﾊﾟｲﾌﾟ 3way切替,,,,,,,,17,18,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
