番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
1,PZK1W85S-3,ハンドルセット,1320,1386,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
2,ZK3W85S-2,キャップセット(湯･水),630,662,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
5,PZK75-13MN,スピンドルセット,490,515,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
6,PZK4JE4-15,KV式節水こま(水側)(2ヶ入),380,399,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
7,PZK4E-15,こま(湯側)(2ヶ入),270,284,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
8,PZKF74N,シャワー切替レバー(ビス付),840,882,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
9,PZKF4GN,シャワー切替レバー部一式,3100,3255,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
10,Z250,切替ボンネット,2640,2772,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
11,PZ42-20,パッキンセット,290,305,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
12,ZK121-20,Xパッキン,160,168,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
13,PZ525-15,吐水口,4730,4967,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
14,PZ525-24,吐水口,5940,6237,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
15,Z512CP,吐水口先端部一式,2420,2541,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
16,PZ511CP3,整流器キャップセット,950,998,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
17,Z76JY,シャワーエルボ,2100,2205,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
18,ZKF91N,逆止弁,280,294,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
19,ZKF80,シャワーホース接続パッキン,80,84,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
20,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
21,ZKM87,ソケットセット,6330,6647,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
22,ZKF1,送り座,540,567,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
,寒冷地用(KF2G3Z),,,,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
23,PZK75JK-13MN,ビス止スピンドルセット(水側）,600,630,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
24,PZK75K-13MN,ビス止スピンドルセット(湯側）,570,599,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
25,PZK4KJE4-15,ビス止用節水パッキンセット(水側)(2ヶ入),350,368,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
26,PZK4K-15,ビス止用こまパッキンセット(湯側)(2ヶ入),300,315,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
27,PZ76J,シャワーエルボ,1840,1932,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
28,ZKM87W,ソケットセット,8250,8663,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
29,Z403,水抜きスピンドル,490,515,KF2G3(Z)・KF2G3R24,KF2G3(Z)_B.png,,
1,PZK1ED-2,EDハンドルセット,990,1040,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
2,PZK3ED-2,キャップセット(湯･水),280,294,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
5,ZK75-13MN1,スピンドルセット,480,504,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
6,PZK4E-15,こま(2ヶ入),270,284,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
7,PZ489,シャワー切替レバー部一式,3100,3255,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
8,PZ215,シャワー切替レバー(ビス付),950,998,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
9,Z250,切替ボンネット,2640,2772,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
10,PZ42,パッキンセット,260,273,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
11,ZK121-13,Xパッキン,110,116,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
12,ZK220-22,吐水口,2050,2153,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
13,ZKF66JY,シャワーエルボ,2340,2457,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
14,ZKF91N,逆止弁,280,294,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
15,ZKF80,シャワーホース接続パッキン,80,84,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
