番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
1,ZK3S331,キャップ,450,473,K331N,K331N_B.png,,0
2,ZK3A-16,丸小ねじ,110,116,K331N,K331N_B.png,,0
3,Z522,止水ボンネット,5190,5450,K331N,K331N_B.png,,0
4,Z439,吐水口,2420,2541,K331N,K331N_B.png,,0
5,PZ42,パッキンセット,260,273,K331N,K331N_B.png,,0
6,ZK121-13,Ｘパッキン,110,116,K331N,K331N_B.png,,0
7,Z46335,シートパッキン,100,105,K331N,K331N_B.png,,0
8,PZK105,立水栓菊座ナットセット,390,410,K331N,K331N_B.png,,0
9,PZK126,アングル接続パッキン,270,284,K331N,K331N_B.png,,0
10,ZK16-1,接続ナット,200,210,K331N,K331N_B.png,,0
11,ZK1S311,レバーハンドルセット　白,980,1029,K331N,K331N_B.png,,0
12,ZK3S311,キャップ　白,130,137,K333,K333_B.png,,0
13,ZK3A-16,丸小ねじ,110,116,K333,K333_B.png,,0
14,Z48378,止水ボンネット,5440,5712,K333,K333_B.png,,0
15,Z590,吐水口,3360,3528,K333,K333_B.png,,0
16,Z32682,カバー,620,651,K333,K333_B.png,,0
17,PZ585,浄水器用カートリッジ,4680,4914,K333,K333_B.png,,0
18,Z32673,ガイドリング,,,K333,K333_B.png,,0
19,Z582S333,シートパッキン,,,K333,K333_B.png,,0
20,PZK105,立水栓菊座ナットセット,390,410,K333,K333_B.png,,0
21,ZK1S311A,レバーハンドルセット　白,980,1029,K333,K333_B.png,,0
22,ZK3S311,キャップ　白,130,137,K335(G)・K335GN,K335(G)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,K335(G)・K335GN,K335(G)_B.png,,0
23,Z49429,止水ボンネット,5440,5712,K335(G)・K335GN,K335(G)_B.png,,0
24,Z46353,吐水口,3540,3717,K335(G)・K335GN,K335(G)_B.png,,0
25,PZK24,泡沫キャップセット,620,651,K335(G)・K335GN,K335(G)_B.png,,0
26,PZ42,パッキンセット,260,273,K335(G)・K335GN,K335(G)_B.png,,0
27,ZK121-13,Ｘパッキン,110,116,K335(G)・K335GN,K335(G)_B.png,,0
28,Z42341,シートパッキン,180,189,K335(G)・K335GN,K335(G)_B.png,,0
29,Z234-1,締付ナットセット,440,462,K335(G)・K335GN,K335(G)_B.png,,0
1,Z46731,接続ジョイント,760,798,K335(G)・K335GN,K335(G)_B.png,,0
2,Z413708,逆止弁ジョイントユニット,2930,3077,K335(G)・K335GN,K335(G)_B.png,,0
3,K335G・K335GN仕様,,,,K335(G)・K335GN,K335(G)_B.png,,0
4,ZK1S311AG,レバーハンドルセット　メッキ,1680,1764,K335(G)・K335GN,K335(G)_B.png,,0
5,ZK3S311G,キャップ　メッキ,220,231,K335(G)・K335GN,K335(G)_B.png,,0
6,Z412862,吐水口,4280,4494,K335(G)・K335GN,K335(G)_B.png,,0
7,Z39995,吐水口,4280,4494,K335(G)・K335GN,K335(G)_B.png,,0
8,Z1600HD,レバーハンドルセット,3200,3360,K335(G)・K335GN,K335(G)_B.png,,0
9,Z1600HDCP,キャップ,900,945,K1600(Z),K1600(Z)_B.png,,0
10,Z421086,ハンドル金具,150,158,K1600(Z),K1600(Z)_B.png,,1
11,Z421095,ボンネット締付ガイド,360,378,K1600(Z),K1600(Z)_B.png,,0
12,KPS018,セラミックバルブ,3220,3381,K1600(Z),K1600(Z)_B.png,,0
13,Z421090S,月表示リングA,450,473,K1600(Z),K1600(Z)_B.png,,0
14,Z1600P,吐水パイプユニット,9800,10290,K1600(Z),K1600(Z)_B.png,,0
15,ご注文はKVKカスタマーサポートセンターへ,浄水カートリッジ,,,K1600(Z),K1600(Z)_B.png,,0
16,Z042336,Oリング,90,95,K1600(Z),K1600(Z)_B.png,,0
17,Z651,逆止弁,370,389,K1600(Z),K1600(Z)_B.png,,0
18,Z420736,シートパッキン,140,147,K1600(Z),K1600(Z)_B.png,,0
19,Z159700K,座金,180,189,K1600(Z),K1600(Z)_B.png,,0
20,PZK105,立水栓菊座ナットセット,390,410,K1600(Z),K1600(Z)_B.png,,0
21,Z438KN2,分岐継手,1500,1575,K1600(Z),K1600(Z)_B.png,,0
,Z48786,パッキン,40,42,K1600(Z),K1600(Z)_B.png,,0
22,寒冷地用(K1600Z),,,,K1600(Z),K1600(Z)_B.png,,0
23,⑩の逆止弁はついておりません。,,,,K1600(Z),K1600(Z)_B.png,,1
24,ZK3J,キャップ,550,578,K1600(Z),K1600(Z)_B.png,,0
1,Z44482,丸小ねじ,110,116,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
2,Z343SC,レバーハンドルセット,1340,1407,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
3,Z79,カートリッジ締付ナット,1560,1638,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
4,PZKM110C,カートリッジ(上吐水）,6410,6731,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
5,Z416,シャワースタンド,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
6,ZKF227M,シャワーセット,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
7,ZKF209,シャワーヘッドユニット,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
8,Z684376,ストレーナ,130,137,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
9,Z42430,シートパッキン,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
10,Z417,菊座締付ナットセット,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
11,PZ364C,逆止弁ジョイントユニット(水側）,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
12,PZ364H,逆止弁ジョイントユニット(湯側）,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
13,Z351N2,カプラー,2500,2625,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
14,ZKF227HM,シャワーセット,12500,13125,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
15,Z411419,ストレーナ,200,210,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
16,寒冷地用(KF605ZC・KF605ZC4）,,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
17,PZ364W,ジョイントユニット,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
18,ZKF141PWN2,水抜きユニット,7520,7896,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
19,PZK1GL-2,GLハンドルセット,1110,1166,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
20,ZK3A-16,丸小ねじ,110,116,KM1,KM1_B.png,,0
21,PZK3GL-2,キャップセット(湯･水),280,294,KM1,KM1_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM1,KM1_B.png,,0
22,PZK127,水栓上部パッキンセット,190,200,KM1,KM1_B.png,,0
23,PZK81-17,吐水口,1370,1439,KM1,KM1_B.png,,0
24,PZ42,パッキンセット,260,273,KM1,KM1_B.png,,0
,ZK121-13,Ｘパッキン,110,116,KM1,KM1_B.png,,0
,PZK4E-15,こま,270,284,KM1,KM1_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM1,KM1_B.png,,0
,ZKF1,送り座,540,567,KM1,KM1_B.png,,0
,寒冷地用,,,,KM1,KM1_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM1,KM1_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット,300,315,KM1,KM1_B.png,,0
,ZK3GE,青キャップ,460,483,KM1,KM1_B.png,,0
,ZK3GER,赤キャップ,460,483,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK3GE-2,キャップセット(湯･水),530,557,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
